Type,SortThreshold,MergeThreshold,Time(s)
Random,0,0,0.12221583333333334
Random,0,4,0.11963633333333333
Random,0,8,0.11406866666666665
Random,0,16,0.11360516666666666
Random,0,32,0.11320866666666667
Random,4,0,0.12239733333333332
Random,4,4,0.11898383333333333
Random,4,8,0.11660383333333334
Random,4,16,0.11020366666666666
Random,4,32,0.11178666666666666
Random,8,0,0.11981066666666668
Random,8,4,0.11894716666666667
Random,8,8,0.11463
Random,8,16,0.11009633333333334
Random,8,32,0.11321550000000001
Random,16,0,0.12154183333333334
Random,16,4,0.11857883333333334
Random,16,8,0.11637966666666666
Random,16,16,0.11335899999999999
Random,16,32,0.11275366666666665
Random,32,0,0.12170616666666667
Random,32,4,0.1191745
Random,32,8,0.1157475
Random,32,16,0.11234283333333334
Random,32,32,0.11342383333333333
Random,64,0,0.12286016666666666
Random,64,4,0.11787416666666667
Random,64,8,0.11773933333333332
Random,64,16,0.11371949999999999
Random,64,32,0.1132455
Reverse,0,0,0.16439483333333335
Reverse,0,4,0.1546101666666667
Reverse,0,8,0.14766733333333334
Reverse,0,16,0.14694016666666668
Reverse,0,32,0.14493216666666667
Reverse,4,0,0.16545616666666665
Reverse,4,4,0.1526155
Reverse,4,8,0.15128149999999999
Reverse,4,16,0.15047366666666664
Reverse,4,32,0.14368416666666667
Reverse,8,0,0.15645566666666666
Reverse,8,4,0.15439233333333333
Reverse,8,8,0.15201483333333335
Reverse,8,16,0.15123233333333333
Reverse,8,32,0.14181
Reverse,16,0,0.16679633333333332
Reverse,16,4,0.15245583333333332
Reverse,16,8,0.15163183333333333
Reverse,16,16,0.14557483333333335
Reverse,16,32,0.14398033333333335
Reverse,32,0,0.16258283333333334
Reverse,32,4,0.152973
Reverse,32,8,0.150502
Reverse,32,16,0.14746266666666666
Reverse,32,32,0.13651149999999998
Reverse,64,0,0.167681
Reverse,64,4,0.15454199999999998
Reverse,64,8,0.14873733333333333
Reverse,64,16,0.15501166666666666
Reverse,64,32,0.14615266666666668
Sorted,0,0,0.16756033333333334
Sorted,0,4,0.15823083333333335
Sorted,0,8,0.1470275
Sorted,0,16,0.14426733333333333
Sorted,0,32,0.143931
Sorted,4,0,0.16525700000000001
Sorted,4,4,0.15463666666666667
Sorted,4,8,0.15313383333333333
Sorted,4,16,0.14804133333333333
Sorted,4,32,0.14245166666666667
Sorted,8,0,0.16299866666666665
Sorted,8,4,0.15584866666666666
Sorted,8,8,0.151846
Sorted,8,16,0.14897633333333332
Sorted,8,32,0.14556650000000002
Sorted,16,0,0.1633005
Sorted,16,4,0.15493666666666667
Sorted,16,8,0.15514366666666665
Sorted,16,16,0.1491971666666667
Sorted,16,32,0.14257433333333333
Sorted,32,0,0.163245
Sorted,32,4,0.155801
Sorted,32,8,0.151815
Sorted,32,16,0.14966666666666667
Sorted,32,32,0.14500616666666669
Sorted,64,0,0.16212316666666668
Sorted,64,4,0.15330016666666665
Sorted,64,8,0.15204066666666666
Sorted,64,16,0.16024850000000002
Sorted,64,32,0.14413966666666667
