Size,Type,SortThreshold,MergeThreshold,Best_Hybrid_Time(s),Time(s),Time_Difference(s),Improvement(%)
10,Random,8,32,0.0,1e-06,1e-06,100.0
10,Reverse,4,16,0.0,1e-06,1e-06,100.0
10,Sorted,4,32,0.0,4e-06,4e-06,100.0
100,Random,32,16,7e-06,1.3e-05,5.999999999999999e-06,46.15384615384615
100,Reverse,4,8,5e-06,7e-06,1.9999999999999995e-06,28.571428571428566
100,Sorted,4,32,3e-06,7e-06,4e-06,57.14285714285714
1000,Random,32,32,0.000132,0.000134,1.9999999999999944e-06,1.4925373134328317
1000,Reverse,4,16,7.8e-05,0.000107,2.9e-05,27.10280373831776
1000,Sorted,64,32,5.5e-05,0.000113,5.7999999999999994e-05,51.32743362831857
10000,Random,16,16,0.002322,0.001908,-0.00041399999999999987,-21.698113207547163
10000,Reverse,32,32,0.001451,0.001323,-0.00012800000000000008,-9.674981103552538
10000,Sorted,8,32,0.001214,0.001303,8.899999999999989e-05,6.830391404451258
100000,Random,64,32,0.032323,0.023745,-0.008577999999999999,-36.12550010528532
100000,Reverse,16,32,0.030071,0.019463,-0.010608,-54.503416739454345
100000,Sorted,4,16,0.031075,0.019598,-0.011476999999999998,-58.562098173282976
1000000,Random,4,16,0.623906,0.486078,-0.13782799999999995,-28.35511996017099
1000000,Reverse,32,32,0.783905,0.632547,-0.151358,-23.92834050276106
1000000,Sorted,4,32,0.821088,0.613099,-0.2079890000000001,-33.92421126115034
