Size,SortThreshold,MergeThreshold,Type,Time(s)
10,0,0,Sorted,0.000010
100,0,0,Sorted,0.000018
1000,0,0,Sorted,0.000217
10000,0,0,Sorted,0.002491
100000,0,0,Sorted,0.038921
1000000,0,0,Sorted,0.963705
10,0,0,Reverse,0.000002
100,0,0,Reverse,0.000014
1000,0,0,Reverse,0.000152
10000,0,0,Reverse,0.002378
100000,0,0,Reverse,0.042064
1000000,0,0,Reverse,0.941759
10,0,0,Random,0.000002
100,0,0,Random,0.000015
1000,0,0,Random,0.000201
10000,0,0,Random,0.003305
100000,0,0,Random,0.041446
1000000,0,0,Random,0.688326
10,0,4,Sorted,0.000001
100,0,4,Sorted,0.000008
1000,0,4,Sorted,0.000140
10000,0,4,Sorted,0.002160
100000,0,4,Sorted,0.036374
1000000,0,4,Sorted,0.910702
10,0,4,Reverse,0.000001
100,0,4,Reverse,0.000008
1000,0,4,Reverse,0.000116
10000,0,4,Reverse,0.001769
100000,0,4,Reverse,0.034129
1000000,0,4,Reverse,0.891638
10,0,4,Random,0.000002
100,0,4,Random,0.000013
1000,0,4,Random,0.000169
10000,0,4,Random,0.002840
100000,0,4,Random,0.037909
1000000,0,4,Random,0.676885
10,0,8,Sorted,0.000001
100,0,8,Sorted,0.000008
1000,0,8,Sorted,0.000126
10000,0,8,Sorted,0.001604
100000,0,8,Sorted,0.035400
1000000,0,8,Sorted,0.845026
10,0,8,Reverse,0.000001
100,0,8,Reverse,0.000010
1000,0,8,Reverse,0.000126
10000,0,8,Reverse,0.001895
100000,0,8,Reverse,0.032736
1000000,0,8,Reverse,0.851236
10,0,8,Random,0.000001
100,0,8,Random,0.000012
1000,0,8,Random,0.000192
10000,0,8,Random,0.002908
100000,0,8,Random,0.036981
1000000,0,8,Random,0.644318
10,0,16,Sorted,0.000001
100,0,16,Sorted,0.000006
1000,0,16,Sorted,0.000066
10000,0,16,Sorted,0.002157
100000,0,16,Sorted,0.033431
1000000,0,16,Sorted,0.829943
10,0,16,Reverse,0.000001
100,0,16,Reverse,0.000007
1000,0,16,Reverse,0.000099
10000,0,16,Reverse,0.001793
100000,0,16,Reverse,0.032521
1000000,0,16,Reverse,0.847220
10,0,16,Random,0.000001
100,0,16,Random,0.000008
1000,0,16,Random,0.008006
10000,0,16,Random,0.002605
100000,0,16,Random,0.035185
1000000,0,16,Random,0.635826
10,0,32,Sorted,0.000002
100,0,32,Sorted,0.000004
1000,0,32,Sorted,0.000077
10000,0,32,Sorted,0.001270
100000,0,32,Sorted,0.033313
1000000,0,32,Sorted,0.828920
10,0,32,Reverse,0.000001
100,0,32,Reverse,0.000011
1000,0,32,Reverse,0.000116
10000,0,32,Reverse,0.001739
100000,0,32,Reverse,0.034236
1000000,0,32,Reverse,0.833490
10,0,32,Random,0.000001
100,0,32,Random,0.000011
1000,0,32,Random,0.000160
10000,0,32,Random,0.002362
100000,0,32,Random,0.033755
1000000,0,32,Random,0.642963
10,4,0,Sorted,0.000001
100,4,0,Sorted,0.000008
1000,4,0,Sorted,0.000139
10000,4,0,Sorted,0.001978
100000,4,0,Sorted,0.038263
1000000,4,0,Sorted,0.951153
10,4,0,Reverse,0.000002
100,4,0,Reverse,0.000009
1000,4,0,Reverse,0.000137
10000,4,0,Reverse,0.002339
100000,4,0,Reverse,0.041561
1000000,4,0,Reverse,0.948689
10,4,0,Random,0.000001
100,4,0,Random,0.000017
1000,4,0,Random,0.000226
10000,4,0,Random,0.003266
100000,4,0,Random,0.040210
1000000,4,0,Random,0.690664
10,4,4,Sorted,0.000001
100,4,4,Sorted,0.000009
1000,4,4,Sorted,0.000113
10000,4,4,Sorted,0.001940
100000,4,4,Sorted,0.035830
1000000,4,4,Sorted,0.889927
10,4,4,Reverse,0.000001
100,4,4,Reverse,0.000008
1000,4,4,Reverse,0.000091
10000,4,4,Reverse,0.002129
100000,4,4,Reverse,0.036438
1000000,4,4,Reverse,0.877026
10,4,4,Random,0.000001
100,4,4,Random,0.000013
1000,4,4,Random,0.000170
10000,4,4,Random,0.002834
100000,4,4,Random,0.038168
1000000,4,4,Random,0.672717
10,4,8,Sorted,0.000001
100,4,8,Sorted,0.000009
1000,4,8,Sorted,0.000122
10000,4,8,Sorted,0.001592
100000,4,8,Sorted,0.036724
1000000,4,8,Sorted,0.880355
10,4,8,Reverse,0.000001
100,4,8,Reverse,0.000005
1000,4,8,Reverse,0.000100
10000,4,8,Reverse,0.001676
100000,4,8,Reverse,0.032395
1000000,4,8,Reverse,0.873512
10,4,8,Random,0.000001
100,4,8,Random,0.000014
1000,4,8,Random,0.000211
10000,4,8,Random,0.002647
100000,4,8,Random,0.035840
1000000,4,8,Random,0.660910
10,4,16,Sorted,0.000002
100,4,16,Sorted,0.000004
1000,4,16,Sorted,0.000068
10000,4,16,Sorted,0.001367
100000,4,16,Sorted,0.031075
1000000,4,16,Sorted,0.855732
10,4,16,Reverse,0.000000
100,4,16,Reverse,0.000015
1000,4,16,Reverse,0.000078
10000,4,16,Reverse,0.001645
100000,4,16,Reverse,0.035020
1000000,4,16,Reverse,0.866084
10,4,16,Random,0.000001
100,4,16,Random,0.000014
1000,4,16,Random,0.000176
10000,4,16,Random,0.003123
100000,4,16,Random,0.034002
1000000,4,16,Random,0.623906
10,4,32,Sorted,0.000000
100,4,32,Sorted,0.000003
1000,4,32,Sorted,0.000058
10000,4,32,Sorted,0.001225
100000,4,32,Sorted,0.032336
1000000,4,32,Sorted,0.821088
10,4,32,Reverse,0.000000
100,4,32,Reverse,0.000006
1000,4,32,Reverse,0.000121
10000,4,32,Reverse,0.001659
100000,4,32,Reverse,0.031712
1000000,4,32,Reverse,0.828607
10,4,32,Random,0.000001
100,4,32,Random,0.000015
1000,4,32,Random,0.000140
10000,4,32,Random,0.002394
100000,4,32,Random,0.033507
1000000,4,32,Random,0.634663
10,8,0,Sorted,0.000001
100,8,0,Sorted,0.000007
1000,8,0,Sorted,0.000130
10000,8,0,Sorted,0.002128
100000,8,0,Sorted,0.038264
1000000,8,0,Sorted,0.937462
10,8,0,Reverse,0.000001
100,8,0,Reverse,0.000007
1000,8,0,Reverse,0.000147
10000,8,0,Reverse,0.002287
100000,8,0,Reverse,0.040057
1000000,8,0,Reverse,0.896235
10,8,0,Random,0.000002
100,8,0,Random,0.000013
1000,8,0,Random,0.000198
10000,8,0,Random,0.003434
100000,8,0,Random,0.039070
1000000,8,0,Random,0.676147
10,8,4,Sorted,0.000002
100,8,4,Sorted,0.000009
1000,8,4,Sorted,0.000093
10000,8,4,Sorted,0.001733
100000,8,4,Sorted,0.035159
1000000,8,4,Sorted,0.898096
10,8,4,Reverse,0.000001
100,8,4,Reverse,0.000006
1000,8,4,Reverse,0.000112
10000,8,4,Reverse,0.001880
100000,8,4,Reverse,0.036845
1000000,8,4,Reverse,0.887510
10,8,4,Random,0.000001
100,8,4,Random,0.007752
1000,8,4,Random,0.000281
10000,8,4,Random,0.002954
100000,8,4,Random,0.037163
1000000,8,4,Random,0.665532
10,8,8,Sorted,0.000001
100,8,8,Sorted,0.000016
1000,8,8,Sorted,0.000107
10000,8,8,Sorted,0.001744
100000,8,8,Sorted,0.033102
1000000,8,8,Sorted,0.876106
10,8,8,Reverse,0.000001
100,8,8,Reverse,0.000007
1000,8,8,Reverse,0.000101
10000,8,8,Reverse,0.001651
100000,8,8,Reverse,0.037896
1000000,8,8,Reverse,0.872433
10,8,8,Random,0.000001
100,8,8,Random,0.000010
1000,8,8,Random,0.000178
10000,8,8,Random,0.002453
100000,8,8,Random,0.036097
1000000,8,8,Random,0.649041
10,8,16,Sorted,0.000000
100,8,16,Sorted,0.000004
1000,8,16,Sorted,0.000075
10000,8,16,Sorted,0.001804
100000,8,16,Sorted,0.033810
1000000,8,16,Sorted,0.858165
10,8,16,Reverse,0.000000
100,8,16,Reverse,0.000005
1000,8,16,Reverse,0.000098
10000,8,16,Reverse,0.001631
100000,8,16,Reverse,0.030787
1000000,8,16,Reverse,0.874873
10,8,16,Random,0.000001
100,8,16,Random,0.000008
1000,8,16,Random,0.000159
10000,8,16,Random,0.002445
100000,8,16,Random,0.032884
1000000,8,16,Random,0.625081
10,8,32,Sorted,0.000000
100,8,32,Sorted,0.000006
1000,8,32,Sorted,0.000101
10000,8,32,Sorted,0.001214
100000,8,32,Sorted,0.033180
1000000,8,32,Sorted,0.838898
10,8,32,Reverse,0.000001
100,8,32,Reverse,0.000009
1000,8,32,Reverse,0.000144
10000,8,32,Reverse,0.001842
100000,8,32,Reverse,0.033573
1000000,8,32,Reverse,0.815291
